priority,organization,type,location,url,resource_fit,pitch_angle,status,contact,email,sent_date
1,Center for Nonprofit Excellence at CFECI,Nonprofit capacity center,East Central Illinois,https://cfeci.org/nonprofits/,Illinois startup guide and checklist,Offer free plain-language resource for prospective founders,Research contact,,,
2,Chicago Lawyers' Committee for Civil Rights,Nonprofit legal support,Chicago,https://www.clccrul.org/nonprofits-small-businesses,Illinois guide as pre-clinic education,Complement legal services without replacing advice,Sent,Amy Cook,acook@clccrul.org,2026-08-21
3,Chicago Bar Foundation Nonprofit Legal Support Project,Legal support network,Illinois,https://chicagobarfoundation.org/nonprofit-legal-support-project/,Compliance education referral,Free preparation resources for early-stage organizations,Sent,Bob Glaves,bglaves@chicagobarfoundation.org,2026-08-21
4,Illinois Legal Aid Online,Legal education,Illinois,https://www.illinoislegalaid.org/legal-information/start-nonprofit-organization,State guide cross-reference,Offer updated plain-language checklist for users,Research contact,,,
5,Champaign Public Library Launch at the Library,Library business services,Champaign,https://champaign.org/event/start-grow-your-business-9507830,Startup checklist and workshop handout,Free tool for nonprofit consultations,Sent,Launch Business Center team,info@champaign.org,2026-08-21
6,Oak Park Public Library Business Services,Library business services,Oak Park,https://www.oppl.org/use-your-library/businesses/,Startup resources,Add to nonprofit organization resource collection,Sent,Bridget,bridgeto@oppl.org,2026-08-21
7,Glen Ellyn Public Library Business and Civic Resources,Library resources,Glen Ellyn,https://gepl.org/for-businesses/,Startup checklist,Free local resource for nonprofit founders,Research contact
8,College of DuPage SBDC,Business advising,DuPage County,https://cod.edu/business-development-center/sbdc.html,Entity-choice and cost guides,Resource for clients considering nonprofit structure,Sent,Business Development Center team,bdc@cod.edu,2026-08-21
9,Illinois SBDC at Champaign County,Business advising,Champaign County,https://cusbdc.org/,Entity-choice guide,Free comparison resource for mission-driven founders,Research contact
10,Illinois Eastern Community Colleges SBDC,Business advising,Southeastern Illinois,https://iecc.edu/sbdc,Startup cost and planning tools,Share with mission-driven startup inquiries,Research contact
11,Chicagoland Chamber Illinois SBDC,Business advising,Chicago,https://www.chicagolandchamber.org/sbdc/,Entity-choice resources,Plain-language alternative for nonprofit inquiries,Research contact
12,Community Foundation of Central Illinois,Community foundation,Central Illinois,https://communityfoundationci.org/,Fiscal sponsor and startup guides,Founder education and referral resource,Research contact
13,Quad Cities Community Foundation,Community foundation,Quad Cities,https://www.qccommunityfoundation.org/nonprofit-resources,Startup checklist,Add to nonprofit resource directory,Research contact
14,Forefront,Statewide nonprofit association,Illinois,https://myforefront.org/,Founder learning resources,Free pre-formation tools for early-stage users,Research contact
15,Lumity,Nonprofit capacity support,Chicagoland,https://lumity.org/,Compliance planning tools,Resource for very early-stage organizations,Verify current program
16,Illinois Attorney General Charitable Trust Bureau,Government regulator,Illinois,https://illinoisattorneygeneral.gov/Consumer-Protection/Charities/Building-Better-Charities/Resources-for-Charities/index,Official registration links,Request only informational review/link accuracy—not endorsement,Do not cold pitch commercially
17,Illinois Secretary of State Business Services,Government formation agency,Illinois,https://www.ilsos.gov/departments/business-services/incorporation/nfp-instructions.html,Official incorporation links,Citation source only—not commercial outreach,No outreach
18,St. Charles Public Library,Public library,St. Charles,https://www.scpld.org/,Illinois guide and checklist,Offer resource for local founders and reference desk,Research contact
19,Gail Borden Public Library,Public library,Elgin,https://gailborden.info/,Illinois startup resources,Free addition to business/nonprofit resources,Research contact
20,Schaumburg Township District Library,Public library,Schaumburg,https://www.schaumburglibrary.org/,Startup checklist and screener,Free digital resource for business services,Research contact
21,Naperville Public Library,Public library,Naperville,https://www.naperville-lib.org/,Illinois guide,Local entrepreneur and nonprofit resource,Research contact
22,Aurora Public Library District,Public library,Aurora,https://www.aurorapubliclibrary.org/,Illinois startup checklist,Free community resource,Research contact
23,Peoria Public Library,Public library,Peoria,https://www.peoriapubliclibrary.org/,Startup checklist,Free founder education resource,Research contact
24,Rockford Public Library,Public library,Rockford,https://www.rockfordpubliclibrary.org/,Illinois guide and tool,Resource for local mission-driven founders,Research contact
25,Springfield Lincoln Library,Public library,Springfield,https://www.lincolnlibrary.info/,Illinois state filing guide,Local access to plain-language formation resources,Research contact
26,West Chicago Public Library District,Library business services,West Chicago,https://wcpld.info/services/business-resources/,Startup checklist and quiz,Free resources for patrons exploring nonprofit formation,Research contact
27,Skokie Public Library Business and Nonprofits,Library nonprofit services,Skokie,https://www.skokielibrary.info/resources-services/businesses,Checklist and document previews,Add plain-language formation tools to nonprofit resources,Research contact
28,Arlington Heights Memorial Library,Library nonprofit services,Arlington Heights,https://www.ahml.info/business,Checklist and eligibility quiz,Complement existing nonprofit research databases,Research contact
29,Evanston Public Library Business Resources,Library business services,Evanston,https://www.epl.org/business-resources/,Startup checklist and EIN guide,Free resource for mission-driven entrepreneurs,Research contact
30,Chicago Public Library Business and Money,Library business services,Chicago,https://www.chipublib.org/business-money/,Formation resource collection,Free self-guided nonprofit startup tools,Research contact
31,Bloomington Public Library,Library business services,Bloomington,https://www.bloomingtonlibrary.org/,Startup checklist and quiz,Free tool for local prospective founders,Research contact
32,Normal Public Library,Library business services,Normal,https://www.normalpl.org/,Startup checklist,Share with patrons considering nonprofit formation,Research contact
33,Decatur Public Library,Library business services,Decatur,https://www.decaturlibrary.org/,Startup checklist,Plain-language formation pathway for patrons,Research contact
34,Community Foundation of the Fox River Valley,Community foundation,Aurora and Kane County,https://www.cffrv.org/,Startup and governance guides,Pre-formation resource for emerging local groups,Research contact
35,DuPage Foundation,Community foundation,DuPage County,https://dupagefoundation.org/,Startup checklist and governance pages,Early-stage founder education before grant readiness,Research contact
36,Community Foundation of Northern Illinois,Community foundation,Northern Illinois,https://www.cfnil.org/,Governance and checklist resources,Founder preparation and nonprofit capacity support,Research contact
37,Community Foundation for the Land of Lincoln,Community foundation,Central Illinois,https://cfll.org/,Startup checklist,Pre-formation resource for community-led projects,Research contact
38,DeKalb County Community Foundation,Community foundation,DeKalb County,https://dekalbccf.org/,Startup checklist and quiz,Education for emerging charitable projects,Research contact
39,The Community Foundation for McHenry County,Community foundation,McHenry County,https://thecfmc.org/,Startup checklist and governance guides,Early-stage resource for local founders,Research contact
40,The Lake County Community Foundation,Community foundation,Lake County,https://lakecountycf.org/,Startup checklist,Formation education for new charitable initiatives,Research contact
41,The Chicago Community Trust,Community foundation,Chicago region,https://www.cct.org/,Free formation resources,Resource for grassroots and emerging groups,Research contact
42,Southeastern Illinois Community Foundation,Community foundation,Southeastern Illinois,https://enrichingourcommunity.org/,Startup and governance guides,Free education for rural nonprofit founders,Research contact
